42540488161975842760550356425300246528,42540488241204005274814694018844196863,6939,Hurricane Electric LLC
42540488479219738492182115193345540096,42540488479220947418001729822520246271,112,DNS-OARC
42540528726795050063891204319802818560,42540528728651960122819274732151504895,2500,WIDE Project
42540528728651960122819274732151504896,42540528728961445132640619800876285951,7667,"KDDI R&D Laboratories, INC."
42540528728961445132640619800876285952,42540528729580415152283309938325848063,2500,WIDE Project
42540528729580415152283309938325848064,42540528729889900162104655007050629119,7660,Asia Pacific Advanced Network - Japan
42540528729889900162104655007050629120,42540528731127840201390035281949753343,2500,WIDE Project
42540528731127840201390035281949753344,42540528731437325211211380350674534399,4690,WIDE Project
42540528731437325211211380350674534400,42540528806023212578155541913346768895,2500,WIDE Project
42540530628270950406235306564857626624,42540530638179306423796807280749445119,2914,"NTT America, Inc."
42540530638179306423796807280749445120,42540530638180515349616421909924151295,18186,FSC NETWORK LTD
42540530638180515349616421909924151296,42540530638793440740161038901500182527,2914,"NTT America, Inc."
42540530638793440740161038901500182528,42540530639102925749982383970224963583,18259,NTT Communications Corporation
42540530639102925749982383970224963584,42540530707499112920499644158401576959,2914,"NTT America, Inc."
42540533797397450976808810306615640064,42540533876625613491073147900159590399,2497,Internet Initiative Japan Inc.
42540535065048051205038211803318845440,42540535070001020287999347532090048511,23910,China Next Generation Internet CERNET2
42540535070001020287999347532090048512,42540535070002229213818962161264754687,24353,CERNET2 IX at Xi'an Jiaotong University
42540535070002229213818962161264754688,42540535074951571519321254002511839231,23910,China Next Generation Internet CERNET2
42540535074951571519321254002511839232,42540535074960034000058556406734782463,24355,CERNET2 IX at University of Electronic Science and Technology of China
42540535074960034000058556406734782464,42540535076190720484426248906585669631,23910,China Next Generation Internet CERNET2
42540535076190720484426248906585669632,42540535076191929410245863535760375807,24356,CERNET2 IX at Chongqing University
42540535076191929410245863535760375808,42540535078665391637177394827209211903,23910,China Next Generation Internet CERNET2
42540535078665391637177394827209211904,42540535078666600562997009456383918079,138381,China Education and Research Network (CERNET)
42540535078666600562997009456383918080,42540535079903331676462775102108336127,23910,China Next Generation Internet CERNET2
42540535079903331676462775102108336128,42540535079908167379741233618807160831,24357,CERNET2 IX at South China University of Technology
42540535079908167379741233618807160832,42540535081141271715748155377007460351,23910,China Next Generation Internet CERNET2
42540535081141271715748155377007460352,42540535081142480641567770006182166527,138438,China Education and Research Network (CERNET)
42540535081142480641567770006182166528,42540535081143689567387384635356872703,138393,China Education and Research Network (CERNET)
42540535081143689567387384635356872704,42540535083617151794318915926805708799,23910,China Next Generation Internet CERNET2
42540535083617151794318915926805708800,42540535083621987497597374443504533503,138369,China Education and Research Network (CERNET)
42540535083621987497597374443504533504,42540535092289985624234265626147815423,23910,China Next Generation Internet CERNET2
42540535092289985624234265626147815424,42540535092291194550053880255322521599,138371,China Education and Research Network (CERNET)
42540535092291194550053880255322521600,42540535109616310470951130958036729855,23910,China Next Generation Internet CERNET2
42540535223504376233566886990406746112,42540535302732538747831224583950696447,23911,China Next Generation Internet Beijing IX
42540535302732538747831224583950696448,42540535303428880019929250988581453823,38272,China Education and Research Network (CERNET)
42540535303428880019929250988581453824,42540535303430088945748865617756159999,142106,AS142106
42540535303430088945748865617756160000,42540535381960701262095562177494646783,38272,China Education and Research Network (CERNET)
42540535381960701262095562177494646784,42540535421574782519227730974266621951,24489,Trans-Eurasia Information Network (TEIN2) - North
42540535421574782519227730974266621952,42540535461188863776359899771038597119,24490,Trans-Eurasia Information Network (TEIN2) - SG
42540535461188863776359899771038597120,42540535540417026290624237364582547455,38255,China Education and Research Network (CERNET)
42540535698873351319152912551670448128,42540535740344342635213151760791109631,2510,FUJITSU LIMITED
42540535740344342635213151760791109632,42540535740345551561032766389965815807,55374,FUJITSU LIMITED
42540535740345551561032766389965815808,42540535740354014041770068794188759039,2510,FUJITSU LIMITED
42540535740354014041770068794188759040,42540535740355222967589683423363465215,55386,FUJITSU LIMITED
42540535740355222967589683423363465216,42540535740356431893409298052538171391,55374,FUJITSU LIMITED
42540535740356431893409298052538171392,42540535740367312225785829715110526975,2510,FUJITSU LIMITED
42540535740367312225785829715110526976,42540535740368521151605444344285233151,55374,FUJITSU LIMITED
42540535740368521151605444344285233152,42540535740369730077425058973459939327,2510,FUJITSU LIMITED
42540535740369730077425058973459939328,42540535740370939003244673602634645503,55386,FUJITSU LIMITED
42540535740370939003244673602634645504,42540535740963312654855841898240671743,2510,FUJITSU LIMITED
